Date,Open,High,Low,Close,Adj Close,Volume
2022-09-07,26.180000,27.900000,26.110001,27.610001,27.308241,165784800
2022-09-08,27.030001,28.420000,26.639999,28.059999,27.753323,205399900
2022-09-09,28.680000,30.020000,28.660000,29.840000,29.513868,149367900
2022-09-12,30.299999,31.030001,30.190001,30.930000,30.591957,136570600
2022-09-13,28.240000,28.610001,25.559999,25.840000,25.557587,195648300
2022-09-14,26.129999,26.670000,25.639999,26.420000,26.131247,154645900
2022-09-15,25.879999,26.549999,24.650000,25.090000,24.815783,196865300
2022-09-16,24.209999,24.730000,23.670000,24.600000,24.331139,196071800
2022-09-19,23.940001,25.230000,23.920000,25.190001,24.914690,151346300
2022-09-20,24.530001,25.190001,23.980000,24.590000,24.321247,161059300
2022-09-21,24.809999,25.920000,23.230000,23.240000,22.986002,295557600
2022-09-22,22.850000,23.110001,22.070000,22.379999,22.135401,215542000
2022-09-23,21.799999,21.860001,20.450001,21.309999,21.077095,280652000
2022-09-26,21.160000,22.209999,20.830000,21.020000,20.790266,245303900
2022-09-27,21.820000,22.350000,20.500000,21.040001,20.810047,271960600
2022-09-28,21.030001,22.590000,20.680000,22.270000,22.026604,256019500
2022-09-29,21.309999,21.389999,19.620001,20.389999,20.167150,270097800
2022-09-30,20.160000,21.090000,19.280001,19.320000,19.108845,256598800
2022-10-03,19.700001,21.010000,19.360001,20.660000,20.434200,223611300
2022-10-04,21.900000,22.770000,21.889999,22.580000,22.333216,231661800
2022-10-05,21.670000,23.000000,21.010000,22.580000,22.333216,229199500
2022-10-06,22.299999,23.059999,21.920000,22.010000,21.769445,237543600
2022-10-07,20.879999,20.910000,19.160000,19.500000,19.286877,250972600
2022-10-10,19.520000,19.610001,18.299999,18.889999,18.683544,206499800
2022-10-11,18.520000,19.139999,17.740000,18.139999,17.941742,264873500
2022-10-12,18.230000,18.639999,17.930000,18.100000,17.902180,200741900
2022-10-13,16.520000,19.620001,16.320000,19.309999,19.098955,414753600
2022-10-14,19.850000,19.980000,17.459999,17.570000,17.377972,335066300
2022-10-17,18.809999,19.500000,18.799999,19.299999,19.089064,230025400
2022-10-18,20.870001,21.000000,19.170000,19.780001,19.563818,346276900
2022-10-19,19.410000,20.240000,19.010000,19.540001,19.326441,259851100
2022-10-20,19.330000,20.469999,18.959999,19.209999,19.000046,264851500
2022-10-21,18.980000,20.690001,18.730000,20.570000,20.345184,313729000
2022-10-24,20.629999,21.469999,19.799999,21.270000,21.037535,274622000
2022-10-25,21.480000,22.639999,21.469999,22.549999,22.303543,238399800
2022-10-26,21.180000,22.500000,20.930000,21.059999,20.829826,279465900
2022-10-27,20.790001,21.120001,19.770000,19.900000,19.682505,256629400
2022-10-28,19.750000,21.809999,19.709999,21.700001,21.462835,255388600
2022-10-31,21.180000,21.370001,20.490000,20.950001,20.721031,209561100
2022-11-01,21.740000,21.870001,20.209999,20.299999,20.078135,215232400
2022-11-02,20.280001,20.980000,18.180000,18.200001,18.001085,331476300
2022-11-03,17.650000,17.950001,17.040001,17.150000,16.962563,212231800
2022-11-04,18.129999,18.350000,16.850000,17.950001,17.753819,382370200
2022-11-07,18.160000,18.639999,17.709999,18.520000,18.317589,200943400
2022-11-08,18.850000,19.620001,18.090000,18.920000,18.713217,296056300
2022-11-09,18.530001,18.700001,17.530001,17.600000,17.407644,215569100
2022-11-10,20.150000,21.540001,19.700001,21.450001,21.215567,328442400
2022-11-11,21.430000,22.830000,21.120001,22.670000,22.422232,307134200
2022-11-14,22.170000,22.959999,21.820000,22.070000,21.828789,214225900
2022-11-15,23.650000,23.950001,22.180000,22.959999,22.709063,318265700
2022-11-16,22.500000,22.580000,21.820000,22.030001,21.789227,191679400
2022-11-17,20.950001,22.209999,20.910000,21.860001,21.621086,213462200
2022-11-18,22.559999,22.580000,21.280001,21.840000,21.601303,194788500
2022-11-21,21.520000,21.799999,20.969999,21.180000,20.948517,144111300
2022-11-22,21.330000,22.100000,20.830000,22.070000,21.828789,146238600
2022-11-23,22.049999,22.870001,22.010000,22.730000,22.481575,178783500
2022-11-25,22.340000,22.500000,22.150000,22.260000,22.016714,67376500
